Rank,Score,"Programming Skills","Driver Skills","Highest Programming Skills","Highest Driver Skills","Highest Programming Score Timestamp","Highest Driver Score Timestamp","Highest Programming Score Stop Time","Highest Driver Score Stop Time","Team Number","Team Name",Organization,"Event Region",Country/Region
1,464,229,235,229,235,"2022-12-16 14:41:33","2022-12-16 22:09:30",0,0,2775V,"Jackson Area Robotics","Jackson Area Robotics",Tennessee,"United States"
2,459,211,248,222,261,"2022-12-16 14:57:27","2022-11-12 00:52:02",0,0,515R,Revision,"Logan and Ben Robotics Club",Kentucky,"United States"
3,456,221,235,221,235,"2022-12-10 18:30:50","2022-12-10 17:19:15",0,0,9181N,Bababooey,"Seaquam Secondary","British Columbia (BC)",Canada
4,436,203,233,203,246,"2022-11-12 23:12:11","2022-10-29 20:04:23",0,0,2496R,"BHS Robopatties R","Arnold O. Beckman High School","California - Region 4","United States"
5,423,216,207,230,207,"2022-10-23 01:00:03","2022-11-12 06:05:17",0,0,66799A,"AST-onishing A","American School in Taichung","Chinese Taipei",Taiwan
6,416,205,211,205,211,"2022-11-18 18:43:39","2022-11-19 14:28:13",0,0,100A,Jugglenauts,"Apogee Robotics",Indiana,"United States"
7,412,176,236,180,236,"2022-08-12 17:27:40","2022-11-18 22:44:12",0,0,4082B,"Freedom Gladiators","St Nicholas Catholic School",Wisconsin,"United States"
8,404,175,229,175,229,"2022-12-10 17:45:03","2022-12-10 17:52:10",0,1,5327K,"gael force kreamers","DUBLIN HIGH SCHOOL","California - Region 2","United States"
9,403,180,223,180,223,"2022-12-17 17:08:47","2022-12-16 18:05:36",0,0,323V,GEARS,"Cornerstone Robotics",Indiana,"United States"
10,401,200,201,200,201,"2022-12-03 01:15:42","2022-12-03 01:36:19",0,0,73335T,INDEED,"Dr.Player Robotics Lab","Chinese Taipei",Taiwan
11,384,161,223,161,223,"2022-12-18 22:36:03","2022-12-18 22:50:50",0,0,44777U,DiscoBotZ,"DiscoBotZ Robotics",Washington,"United States"
12,383,153,230,153,230,"2022-09-10 22:15:35","2022-09-10 21:20:07",0,0,80001B,"Double Play","Double Play","California - Region 2","United States"
13,378,175,203,175,203,"2022-12-17 20:24:05","2022-12-17 22:11:52",0,0,10C,"Exothermic Creation","Exothermic Robotics",Washington,"United States"
14,367,159,208,159,208,"2022-12-16 18:03:16","2022-12-16 20:53:14",0,0,8110R,"Top Gear","Mankato West Robotics",Minnesota,"United States"
15,359,184,175,184,175,"2022-11-13 17:49:18","2022-11-13 21:53:06",0,0,884B,"Space Pandas","MBX Foundation","California - Region 4","United States"
16,359,164,195,164,197,"2022-12-16 20:30:17","2022-12-03 19:32:59",0,0,2011C,"Crazy Train","BRECKSVILLE-BROADVIEW HEIGHTS HIGH SCHOOL",Ohio,"United States"
17,351,164,187,164,187,"2022-12-15 04:18:31","2022-12-15 04:44:00",0,0,10D,"Exothermic Dusk","Exothermic Robotics",Washington,"United States"
18,351,142,209,142,209,"2022-12-10 19:07:32","2022-12-10 18:48:30",0,0,229V,"ACE Robotics","ACE Robotics","Florida - North/Central","United States"
19,337,139,198,139,198,"2022-10-22 16:01:50","2022-10-22 18:49:34",0,0,67101C,Centrifuge,"Maize Career Academy",Kansas,"United States"
20,336,150,186,150,186,"2022-11-18 16:28:16","2022-11-18 16:17:58",0,0,21417A,ROBOKAUZ,ROBOKAUZ,Indiana,"United States"
21,335,136,199,136,199,"2022-12-03 19:33:02","2022-12-03 14:48:08",0,0,96504C,Exotek,"Brentwood High School",Tennessee,"United States"
22,334,149,185,149,207,"2022-10-08 18:06:04","2022-12-04 22:29:11",0,0,1469A,"It Is What It Is","Holmes Eaglebotz Robotics Club","California - Region 4","United States"
23,333,152,181,152,181,"2022-12-02 08:41:26","2022-12-02 09:13:06",0,0,66799G,"AST-onishing G","American School in Taichung","Chinese Taipei",Taiwan
24,323,154,169,154,169,"2022-11-18 21:54:50","2022-11-19 17:27:10",0,0,16868K,"Skill Issue",,Ontario,Canada
25,323,148,175,148,175,"2022-11-18 18:25:17","2022-11-18 16:44:59",0,0,7368C,"CCHS Panic Attack","COVENANT CHRISTIAN HIGH SCHOOL",Indiana,"United States"
26,323,131,192,131,213,"2022-12-11 20:04:27","2022-10-17 18:46:15",0,0,3759X,Virtuoso,"Interstellar Robotics","California - Region 4","United States"
27,322,129,193,137,193,"2022-10-22 18:50:55","2022-12-10 18:39:13",0,0,96789Z,"Mililani Mechs",,Hawaii,"United States"
