Rank,Score,Programming Skills,Driver Skills,Highest Programming Skills,Highest Driver Skills,Highest Programming Score Timestamp,Highest Driver Score Timestamp,Highest Programming Score Stop Time,Highest Driver Score Stop Time,Team Number,Team Name,Organization,Event Region,Country / Region
230,252,116,136,116,136,2023-02-25 16:07:24,2023-02-25 14:57:39,6,0,96610A,Monkey Robotics Inc.,Monkey Robotics Inc.,Illinois,United States
291,237,100,137,100,137,2023-02-19 14:56:51,2023-02-19 17:09:00,0,0,82997A,Horsepower,MONTINI CATHOLIC HIGH SCHOOL,Illinois,United States
428,213,60,153,60,153,2023-02-09 02:03:32,2023-02-09 01:50:39,0,0,23880B,Delta Force,LYONS TWP HIGH SCH,Illinois,United States
513,198,98,100,98,103,2023-02-04 18:41:42,2023-01-14 20:02:28,0,0,321C,321C,NILES WEST HIGH SCHOOL,Illinois,United States
558,192,92,100,92,100,2023-02-25 20:17:11,2023-02-25 17:16:41,39,0,99371H,Chegged,Oak Park & River Forest High School,Illinois,United States
559,192,89,103,89,109,2023-01-14 17:35:33,2023-01-08 18:15:44,37,15,321A,321A,NILES WEST HIGH SCHOOL,Illinois,United States
626,185,75,110,75,110,2023-02-18 17:42:12,2023-02-18 17:49:04,0,0,41870B,The Shaq's,MOUNT VERNON HIGH SCHOOL,Illinois,United States
699,179,71,108,71,108,2023-01-28 16:50:39,2023-01-28 18:08:35,0,0,41870A,Da Baby,MOUNT VERNON HIGH SCHOOL,Illinois,United States
742,175,65,110,65,110,2023-02-25 15:14:27,2023-02-25 18:24:44,47,0,1526B,Hexadecimators,BARTLETT HIGH SCHOOL,Illinois,United States
761,173,114,59,114,67,2023-02-18 17:26:25,2022-12-10 17:43:31,0,0,41870E,RoboRams,MOUNT VERNON HIGH SCHOOL,Illinois,United States
791,171,66,105,66,105,2023-02-19 16:16:36,2023-02-19 18:54:25,0,0,82997B,Mustangs,MONTINI CATHOLIC HIGH SCHOOL,Illinois,United States
876,164,65,99,65,99,2023-02-18 19:18:14,2023-02-18 17:05:09,18,0,41870F,The Okilly Dokillys,MOUNT VERNON HIGH SCHOOL,Illinois,United States
940,158,69,89,69,89,2023-02-04 18:37:15,2023-02-04 15:55:50,2,0,20020X,Velocity,Velocity Robotics,Illinois,United States
1023,153,26,127,26,127,2023-01-08 17:02:51,2023-01-08 16:54:33,0,0,355N,Nautilus,Fox Valley Robotics,Illinois,United States
1030,152,55,97,55,97,2023-02-04 20:30:20,2023-02-04 19:58:49,43,0,725K,Kronos,Private,Illinois,United States
1031,152,45,107,45,107,2023-02-19 19:32:53,2023-02-19 19:41:01,0,0,7133A,RoboHawks A,NAPERVILLE CENTRAL HIGH SCHOOL,Illinois,United States
1042,151,61,90,61,90,2023-02-19 21:57:21,2023-02-19 18:03:44,49,0,8995B,Blackout,Metea Valley High School,Illinois,United States
1054,150,48,102,48,120,2023-02-04 19:13:17,2023-02-19 15:14:20,0,0,355Y,Loose Screws,Fox Valley Robotics,Illinois,United States
1073,148,53,95,53,95,2023-02-19 18:25:38,2023-02-19 18:50:15,28,0,8995V,Velocity,Metea Valley High School,Illinois,United States
1142,143,43,100,43,100,2022-12-08 01:25:47,2022-12-08 02:03:00,0,0,23880A,Baby Dog,LYONS TWP HIGH SCH,Illinois,United States
1164,141,67,74,67,74,2023-01-14 14:23:20,2023-01-14 14:50:30,0,0,2360N,Nemesis,Neuqua Valley High School,Illinois,United States
1181,140,40,100,40,108,2023-01-08 18:10:38,2023-02-19 15:44:12,15,0,355R,Ravens,Fox Valley Robotics,Illinois,United States
1225,136,55,81,55,83,2023-01-14 14:37:06,2023-02-19 19:21:37,0,0,2360V,Vortex,Neuqua Valley High School,Illinois,United States
1262,134,19,115,30,115,2022-10-29 17:41:16,2022-11-05 18:56:52,53,0,355V,Orange Mambas,Fox Valley Robotics,Illinois,United States
1265,133,50,83,50,83,2023-02-25 20:44:19,2023-02-25 19:57:20,28,0,99371C,Error 404,Oak Park and River Forest High School,Illinois,United States
1287,132,46,86,46,86,2023-01-19 02:05:01,2023-01-19 02:11:37,0,0,20612A,Blazin' Bots,BLOOM TRAIL HIGH SCHOOL,Illinois,United States
1524,118,30,88,30,88,2022-11-19 18:22:15,2022-11-19 18:44:21,39,0,333G,G Men,Niles North 333 Robotics,Illinois,United States
1612,112,77,35,77,72,2023-01-14 14:30:53,2023-01-08 21:00:41,0,0,2360S,Singularity,Neuqua Valley High School,Illinois,United States
1666,109,50,59,50,59,2023-02-25 15:03:47,2023-02-25 15:31:54,50,0,99371B,SourDough,OAK PARK & RIVER FOREST HIGH SCH,Illinois,United States
1678,109,9,100,9,100,2022-11-19 18:30:58,2022-11-19 18:02:32,38,0,333R,Los Robos,Niles North 333 Robotics,Illinois,United States
1700,107,42,65,42,65,2023-02-19 15:48:28,2023-02-19 16:12:05,9,0,6410C,Caravan Robotics,MOUNT CARMEL HIGH SCHOOL,Illinois,United States
1713,106,78,28,78,51,2023-01-14 14:54:28,2023-02-19 18:45:37,0,0,8995H,Hades,Metea Valley High School,Illinois,United States
1718,106,35,71,35,71,2023-02-25 19:00:10,2023-02-25 19:10:55,0,0,8780A,WV Aurum,Waubonsie Valley High School,Illinois,United States
1746,105,26,79,26,79,2022-11-20 20:31:07,2022-11-20 18:09:20,0,0,355S,Saturn,Fox Valley Robotics,Illinois,United States
1768,104,26,78,26,78,2023-02-04 21:14:20,2023-02-04 19:49:11,0,0,60441B,Tragedy,LOCKPORT TOWNSHIP HIGH SCH EAST,Illinois,United States
1769,104,13,91,21,91,2023-01-28 19:23:22,2023-02-18 19:29:11,0,0,41870H,The Screw Strippers,MOUNT VERNON HIGH SCHOOL,Illinois,United States
1772,104,16,88,16,88,2023-02-19 19:18:01,2023-02-19 20:32:46,0,0,2360Z,Zettabyte,Neuqua Valley High School,Illinois,United States
1825,102,0,102,0,102,,2023-01-28 18:35:42,0,0,9691B,K.I.D.D.O.,COLLINSVILLE HIGH SCHOOL,Illinois,United States
1833,101,27,74,27,78,2023-01-14 20:46:17,2023-01-19 01:59:13,0,0,23880C,Disco Polo,LYONS TWP HIGH SCH,Illinois,United States
1847,100,33,67,33,67,2023-01-21 20:38:38,2023-01-21 19:35:08,0,0,60441A,Error Error,LOCKPORT TOWNSHIP HIGH SCH EAST,Illinois,United States
1917,98,22,76,22,82,2022-11-12 20:25:48,2022-11-20 18:27:27,0,0,60502Z,Imperial,,Illinois,United States
1945,96,21,75,43,75,2023-02-09 00:56:08,2023-01-28 18:20:39,36,0,20612B,Blazin' Bots,BLOOM TRAIL HIGH SCHOOL,Illinois,United States
